report_id,family_id,report_date,borough,child_age,child_race_ethnicity,allegation_type,reporter_type,reporter_accuracy_score,assigned_caseworker_id,caseworker_caseload,narrative,outcome
SCR000011,FAM00331,2021-06-28,Bronx,12,Black/African American,Neglect - Inadequate Supervision,Family Member,0.249,CW0056,31,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000012,FAM00459,2024-04-24,Bronx,0,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.285,CW0009,33,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Still Open
SCR000013,FAM00088,2023-05-15,Manhattan,4,Black/African American,Emotional Abuse,Law Enforcement,0.416,CW0065,41,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Substantiated
SCR000014,FAM00373,2021-03-07,Queens,5,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.325,CW0036,40,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000015,FAM00100,2021-03-03,Manhattan,7,Hispanic/Latino,Neglect - Inadequate Supervision,Hospital/Medical,0.427,CW0034,33,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000016,FAM00131,2021-07-11,Brooklyn,15,Black/African American,Neglect - Educational,Anonymous,0.109,CW0032,72,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Substantiated
SCR000017,FAM00309,2022-03-24,Bronx,4,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Daycare/Childcare,0.325,CW0066,38,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unfounded
SCR000018,FAM00344,2022-04-22,Staten Island,4,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.314,CW0025,39,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unfounded
SCR000019,FAM00492,2023-11-01,Queens,11,Black/African American,Sexual Abuse,Hospital/Medical,0.542,CW0051,56,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unfounded
SCR000020,FAM00414,2024-05-17,Bronx,6,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.325,CW0063,35,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000021,FAM00386,2021-02-24,Staten Island,2,White,Neglect - Inadequate Supervision,Shelter Staff,0.249,CW0045,44,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unfounded
SCR000022,FAM00192,2024-02-24,Manhattan,6,White,Emotional Abuse,Law Enforcement,0.338,CW0026,71,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unfounded
SCR000023,FAM00277,2022-02-12,Manhattan,1,Hispanic/Latino,Emotional Abuse,School/Educational Staff,0.285,CW0021,60,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000024,FAM00161,2024-08-23,Manhattan,2,Black/African American,Neglect - Inadequate Supervision,Hospital/Medical,0.529,CW0051,51,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000025,FAM00460,2024-12-07,Queens,7,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.4,CW0024,35,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000026,FAM00314,2024-01-22,Manhattan,5,Black/African American,Neglect - Inadequate Supervision,Family Member,0.265,CW0012,62,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Substantiated
SCR000027,FAM00022,2023-05-10,Bronx,15,Black/African American,Neglect - Medical,Social Service Provider,0.311,CW0011,58,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000028,FAM00253,2022-03-28,Brooklyn,4,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.323,CW0027,50,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000029,FAM00561,2023-07-09,Queens,8,Black/African American,Neglect - Medical,Anonymous,0.18,CW0023,59,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000030,FAM00475,2024-04-21,Bronx,9,Black/African American,Physical Abuse,Hospital/Medical,0.391,CW0033,50,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Still Open
SCR000031,FAM00059,2022-07-24,Brooklyn,0,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.388,CW0038,65,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000032,FAM00511,2021-01-14,Brooklyn,10,Unknown,Neglect - Educational,Daycare/Childcare,0.433,CW0055,51,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Substantiated
SCR000033,FAM00476,2021-11-23,Brooklyn,2,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Family Member,0.269,CW0070,75,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000034,FAM00190,2024-11-30,Manhattan,16,Black/African American,Neglect - Inadequate Supervision,Neighbor/Community,0.22,CW0042,49,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unfounded
SCR000035,FAM00563,2023-05-16,Staten Island,1,Black/African American,Neglect - Educational,Shelter Staff,0.319,CW0029,51,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Still Open
SCR000036,FAM00567,2022-11-28,Bronx,5,Hispanic/Latino,Physical Abuse,Hospital/Medical,0.443,CW0034,69,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unfounded
SCR000037,FAM00244,2022-07-24,Bronx,1,Unknown,Domestic Violence Exposure,Anonymous,0.241,CW0057,40,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Substantiated
SCR000038,FAM00505,2021-11-15,Bronx,17,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.312,CW0003,76,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Unsubstantiated
SCR000039,FAM00131,2022-03-17,Queens,7,White,Physical Abuse,Shelter Staff,0.309,CW0006,60,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unsubstantiated
SCR000040,FAM00485,2022-11-21,Manhattan,8,Black/African American,Neglect - Educational,Hospital/Medical,0.347,CW0048,69,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000041,FAM00647,2021-07-29,Bronx,0,Unknown,Neglect - Inadequate Supervision,Law Enforcement,0.339,CW0064,42,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unfounded
SCR000042,FAM00021,2021-07-09,Queens,11,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.25,CW0013,47,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000043,FAM00167,2023-02-18,Queens,2,White,Physical Abuse,School/Educational Staff,0.374,CW0036,51,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Substantiated
SCR000044,FAM00274,2021-07-18,Queens,15,Black/African American,Neglect - Medical,Family Member,0.092,CW0079,46,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Substantiated
SCR000045,FAM00388,2023-01-06,Queens,2,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.29,CW0070,67,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unfounded
SCR000046,FAM00601,2022-12-06,Bronx,2,Black/African American,Neglect - Educational,Shelter Staff,0.13,CW0033,54,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Substantiated
SCR000047,FAM00316,2024-05-21,Manhattan,0,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.268,CW0076,61,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Substantiated
SCR000048,FAM00014,2022-06-26,Brooklyn,6,Multiracial,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.285,CW0057,44,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000049,FAM00242,2021-03-30,Queens,8,Multiracial,Neglect - Inadequate Supervision,School/Educational Staff,0.379,CW0055,42,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Substantiated
SCR000050,FAM00346,2023-07-30,Manhattan,0,Asian,Sexual Abuse,School/Educational Staff,0.33,CW0013,55,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unsubstantiated
SCR000051,FAM00565,2024-01-04,Queens,12,Hispanic/Latino,Emotional Abuse,Family Member,0.178,CW0051,79,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unfounded
SCR000052,FAM00340,2021-09-13,Manhattan,6,White,Physical Abuse,Hospital/Medical,0.473,CW0053,40,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Substantiated
SCR000053,FAM00092,2023-02-15,Bronx,7,Black/African American,Neglect - Inadequate Supervision,Neighbor/Community,0.181,CW0036,42,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Unsubstantiated
SCR000054,FAM00367,2021-06-11,Brooklyn,6,Black/African American,Neglect - Inadequate Supervision,Law Enforcement,0.382,CW0005,62,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unfounded
SCR000055,FAM00455,2024-02-05,Staten Island,5,Black/African American,Neglect - Educational,Hospital/Medical,0.36,CW0025,79,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000056,FAM00428,2022-08-24,Queens,8,Hispanic/Latino,Neglect - Inadequate Supervision,Law Enforcement,0.33,CW0037,66,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unfounded
SCR000057,FAM00509,2024-07-11,Bronx,1,Black/African American,Neglect - Inadequate Supervision,Shelter Staff,0.239,CW0019,67,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unfounded
SCR000058,FAM00035,2024-06-20,Bronx,2,Black/African American,Physical Abuse,Daycare/Childcare,0.352,CW0035,30,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Substantiated
SCR000059,FAM00206,2023-01-11,Bronx,14,Hispanic/Latino,Physical Abuse,Hospital/Medical,0.424,CW0034,68,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000060,FAM00081,2024-03-28,Manhattan,16,White,Neglect - Educational,Hospital/Medical,0.497,CW0054,56,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000061,FAM00562,2022-01-29,Queens,5,Hispanic/Latino,Neglect - Inadequate Supervision,Family Member,0.239,CW0046,65,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unfounded
SCR000062,FAM00388,2024-12-13,Bronx,3,Black/African American,Neglect - Educational,Neighbor/Community,0.045,CW0006,61,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Still Open
SCR000063,FAM00002,2021-05-23,Brooklyn,9,Black/African American,Neglect - Educational,Family Member,0.233,CW0001,70,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000064,FAM00390,2021-04-04,Queens,5,Black/African American,Emotional Abuse,Hospital/Medical,0.347,CW0071,44,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unsubstantiated
SCR000065,FAM00566,2024-09-16,Manhattan,0,Black/African American,Neglect - Educational,Anonymous,0.092,CW0034,60,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000066,FAM00106,2022-04-12,Brooklyn,1,Hispanic/Latino,Neglect - Inadequate Supervision,Shelter Staff,0.239,CW0056,35,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Unfounded
SCR000067,FAM00477,2022-08-16,Manhattan,11,Hispanic/Latino,Neglect - Educational,Shelter Staff,0.247,CW0026,54,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000068,FAM00402,2021-06-13,Brooklyn,9,Hispanic/Latino,Sexual Abuse,School/Educational Staff,0.241,CW0042,78,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000069,FAM00556,2022-04-22,Bronx,0,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.39,CW0038,47,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Substantiated
SCR000070,FAM00162,2021-07-26,Brooklyn,2,White,Neglect - Inadequate Supervision,School/Educational Staff,0.239,CW0026,51,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000071,FAM00202,2023-02-18,Manhattan,3,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.438,CW0059,60,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unfounded
SCR000072,FAM00270,2022-07-24,Queens,10,Hispanic/Latino,Physical Abuse,Anonymous,0.252,CW0024,65,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unsubstantiated
SCR000073,FAM00271,2023-07-18,Manhattan,0,White,Domestic Violence Exposure,School/Educational Staff,0.244,CW0021,38,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000074,FAM00456,2024-07-25,Queens,1,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.296,CW0060,75,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000075,FAM00462,2023-01-18,Bronx,12,Black/African American,Neglect - Medical,School/Educational Staff,0.184,CW0020,32,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000076,FAM00252,2021-11-30,Brooklyn,2,Asian,Neglect - Medical,Neighbor/Community,0.165,CW0006,62,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000077,FAM00296,2023-01-29,Bronx,9,Black/African American,Neglect - Medical,Shelter Staff,0.312,CW0067,56,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000078,FAM00338,2022-12-29,Bronx,3,Hispanic/Latino,Physical Abuse,Hospital/Medical,0.456,CW0010,72,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000079,FAM00053,2022-03-06,Manhattan,1,Black/African American,Physical Abuse,Anonymous,0.144,CW0012,30,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unfounded
SCR000080,FAM00217,2024-10-04,Staten Island,3,Hispanic/Latino,Neglect - Inadequate Supervision,Anonymous,0.184,CW0022,73,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000081,FAM00188,2022-07-01,Bronx,11,Black/African American,Emotional Abuse,Hospital/Medical,0.547,CW0062,38,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unfounded
SCR000082,FAM00380,2024-12-08,Brooklyn,14,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Daycare/Childcare,0.436,CW0061,34,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Substantiated
SCR000083,FAM00493,2024-10-31,Queens,13,Hispanic/Latino,Physical Abuse,Anonymous,0.114,CW0017,44,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000084,FAM00041,2024-08-20,Bronx,5,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.307,CW0010,79,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000085,FAM00157,2021-05-27,Brooklyn,10,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.29,CW0012,38,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Substantiated
SCR000086,FAM00015,2024-06-01,Manhattan,2,Black/African American,Emotional Abuse,Family Member,0.173,CW0040,74,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000087,FAM00065,2024-07-24,Manhattan,3,Black/African American,Neglect - Educational,Shelter Staff,0.303,CW0023,57,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000088,FAM00521,2021-12-17,Bronx,15,Black/African American,Sexual Abuse,Hospital/Medical,0.361,CW0040,42,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Still Open
SCR000089,FAM00344,2023-12-30,Brooklyn,0,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.416,CW0074,53,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Substantiated
SCR000090,FAM00129,2022-05-17,Queens,1,Multiracial,Sexual Abuse,School/Educational Staff,0.352,CW0074,74,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Substantiated
SCR000091,FAM00648,2021-12-01,Brooklyn,2,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.305,CW0050,39,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Still Open
SCR000092,FAM00472,2023-08-05,Bronx,0,Hispanic/Latino,Neglect - Inadequate Supervision,Anonymous,0.093,CW0010,71,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000093,FAM00063,2023-02-17,Queens,2,Black/African American,Neglect - Medical,School/Educational Staff,0.369,CW0004,51,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Still Open
SCR000094,FAM00139,2022-07-07,Bronx,8,Black/African American,Neglect - Inadequate Supervision,Hospital/Medical,0.326,CW0001,68,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000095,FAM00499,2024-08-03,Manhattan,5,Multiracial,Sexual Abuse,Shelter Staff,0.264,CW0043,51,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unfounded
SCR000096,FAM00593,2024-11-10,Bronx,15,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.308,CW0005,66,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Substantiated
SCR000097,FAM00392,2024-02-15,Staten Island,13,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Social Service Provider,0.331,CW0034,68,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unfounded
SCR000098,FAM00419,2022-03-26,Brooklyn,4,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.319,CW0066,49,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Unsubstantiated
SCR000099,FAM00289,2024-11-03,Brooklyn,3,White,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.451,CW0024,39,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unfounded
SCR000100,FAM00379,2022-10-27,Bronx,5,Hispanic/Latino,Neglect - Inadequate Supervision,Hospital/Medical,0.418,CW0014,39,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Still Open
SCR000101,FAM00490,2021-04-25,Brooklyn,8,Asian,Neglect - Educational,School/Educational Staff,0.292,CW0041,55,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Substantiated
SCR000102,FAM00231,2022-04-15,Queens,3,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.29,CW0042,54,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Unsubstantiated
SCR000103,FAM00041,2021-03-07,Staten Island,9,Hispanic/Latino,Neglect - Educational,Daycare/Childcare,0.319,CW0013,57,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000104,FAM00028,2022-10-09,Brooklyn,5,Black/African American,Domestic Violence Exposure,Neighbor/Community,0.219,CW0029,42,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unfounded
SCR000105,FAM00135,2023-04-02,Brooklyn,8,Black/African American,Domestic Violence Exposure,School/Educational Staff,0.278,CW0065,44,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Substantiated
SCR000106,FAM00201,2022-07-03,Manhattan,6,Multiracial,Neglect - Inadequate Supervision,Law Enforcement,0.422,CW0046,35,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000107,FAM00033,2021-05-16,Queens,3,Black/African American,Physical Abuse,Daycare/Childcare,0.351,CW0034,41,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000108,FAM00048,2022-03-09,Manhattan,16,Black/African American,Neglect - Inadequate Supervision,Anonymous,0.114,CW0063,48,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unsubstantiated
SCR000109,FAM00503,2024-03-07,Brooklyn,12,White,Physical Abuse,Hospital/Medical,0.451,CW0004,61,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Substantiated
SCR000110,FAM00407,2022-10-07,Brooklyn,1,Black/African American,Emotional Abuse,Hospital/Medical,0.384,CW0028,40,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Substantiated
SCR000111,FAM00574,2022-03-12,Manhattan,14,Unknown,Neglect - Medical,Hospital/Medical,0.452,CW0001,67,Anonymous caller reports child left alone overnight. Unable to verify no food in home. Two prior substantiated reports.,Unsubstantiated
SCR000112,FAM00099,2024-09-04,Bronx,6,White,Neglect - Inadequate Supervision,Daycare/Childcare,0.361,CW0036,62,Medical staff observed bruising on arms during routine checkup. Child disclosed hitting at home. Prior ACS history: one prior report in 2022 unsubstantiated.,Unsubstantiated
SCR000113,FAM00547,2023-10-20,Manhattan,15,Hispanic/Latino,Emotional Abuse,Anonymous,0.11,CW0013,31,Neighbor reports child unsupervised for extended periods. Child seen left alone overnight. Family known to shelter system.,Still Open
SCR000114,FAM00613,2023-03-22,Brooklyn,12,Asian,Neglect - Inadequate Supervision,School/Educational Staff,0.336,CW0005,44,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000115,FAM00462,2024-08-09,Queens,5,Black/African American,Domestic Violence Exposure,Hospital/Medical,0.447,CW0014,65,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unsubstantiated
SCR000116,FAM00643,2023-07-29,Bronx,0,Black/African American,Neglect - Educational,Family Member,0.278,CW0032,34,Shelter staff reports child not attending school regularly. Family has been in shelter for 2 months. Caregiver appeared intoxicated.,Unsubstantiated
SCR000117,FAM00005,2021-10-20,Manhattan,3,Hispanic/Latino,Physical Abuse,Anonymous,0.188,CW0050,44,Law enforcement responded to domestic incident. Child present during excessive absences. Child has not seen doctor in over a year.,Unsubstantiated
SCR000118,FAM00218,2022-06-27,Brooklyn,7,Black/African American,Physical Abuse,Social Service Provider,0.355,CW0027,72,Reporter states child appeared disheveled and hungry at school. Child reported parent unable to be reached. Family has no prior ACS involvement.,Unfounded
